,F1,Twitter,F3,F4,F2
Argentina,0.3176985529987574,-0.03255375490059502,0.22381430373401595,0.14658191111061408,0.010415262434669649
Armenia,-0.19061409240999946,-0.1757564457605016,0.20178771124553319,-0.10721367503834879,-0.1082111708002996
Aruba,0.20388168234589166,0.10729574892936422,-0.06284733816292713,-0.015810813719632753,0.049884747262773484
Astana,0.12324942077871102,-0.39775512988120143,0.09099997730449681,0.06187421906395369,0.22406660977140191
Asturias,0.12077517379785029,0.11503882262125317,-0.04932059289790499,0.14576688643264918,-0.08224394685162127
Athens,0.2619264608085044,0.05661935583290633,0.05687746810855163,0.13099561275139757,0.05511942349552141
Atlanta,0.41404083883621445,-0.007667115851192148,0.027306064381361458,0.1863104937177817,0.0813845049692243
Auckland,0.2709398941720435,-0.0016012814411942627,-0.08899057191547263,0.04630949106453109,0.03853370255317595
Austin,0.3273899929522208,-0.0006118283820508453,0.08886834225124121,0.0186425928051234,0.30194443684832883
Australia,0.20123882602242102,0.013487749268241577,0.14452636401748092,-0.14742796484477788,0.22989273550228598
Austria,0.2531074417466137,0.03416001464353236,0.22718002494094056,0.07506738041442461,0.16179263830809545
Azerbaijan,0.17659291106715697,0.019088195454176945,0.15793337913113645,-0.18102792025118744,0.06575900834900293
Baghdad,0.05017328490155805,0.009036919580808982,-0.08810513563577571,0.002103010525237411,0.10047527598314251
Bahamas,0.09061123443067097,-0.00019130319402392841,0.037475009655350056,-0.006923064213207381,0.2770895636858453
Bahrain,0.2251404579693197,0.03301812278854042,0.03296805599431112,0.11609592883667447,0.19532153617393533
Baku,0.17762892035513583,-0.1341792902916245,0.18955271213619412,-0.1895012506543949,0.08933226652726811
Baltimore,0.37001691049293367,-0.00624795967107185,-0.11416729427977913,0.2100089793538968,0.2233002787140147
Bangalore,-0.007028386306092552,-0.09341279458681664,-0.014031304258483583,-0.1404563643225273,0.3441094265899273
Bangkok,0.1181877644346513,-0.05403050905484336,0.370413619147378,-0.04147172559994122,0.26184910239078135
Bangladesh,-0.12289706315278791,-0.008449539556937814,0.1682109455865171,0.07865951976818152,-0.08027703579859034
Barbados,0.2773993692910663,-0.02696391325972702,0.04150541539793639,-0.07851674615149282,-0.148929511009476
Barcelona,0.4368390980636814,0.017695003835638923,0.2052524250790398,0.14778577611789795,-0.00969360734920674
Bari,0.6015603243487214,-0.5108801769387722,0.00572883500641914,0.24187871654620344,0.06427232353421082
Basel,0.3150226978694003,0.005767605611241074,0.20017994721681767,0.23533041861473605,-0.2509336232261905
Beijing,0.04078916371673463,-0.0004825230724261238,0.35127853962251154,0.11732835408541058,0.16788265878345213
Beirut,0.4902179955740006,-0.0038472732675425224,-0.02422633847923827,-0.10074412065924701,0.2929132993203551
Belarus,0.06178417756863078,-0.05872432992514835,0.07834269782406693,0.1430829186663181,-0.04241239059702048
Belfast,0.6103882269790987,0.0225598639482386,0.15695324415357395,0.11076485096566492,-0.18750662534121573
Belgium,0.6371008193052765,0.024843981969101946,-0.05343905282365761,0.06871992754848377,0.2153365364333039
Belgrade,0.15084194748793417,-0.031245581181851126,0.05010732339911886,0.2635302657187471,0.13590368684314388
Belize,0.14129585026957187,-0.003568584766919589,0.00735762968297698,0.15995079340838275,-0.032002576066925636
Bergen,0.3138873394862149,0.010372961424031399,0.14365792873815378,0.06849152314645877,0.120396696043424
Berlin,0.36837858925911976,-0.1312853182730657,0.44878024973352343,0.22716658077159066,-0.41450181703054506
Biarritz,0.08943808479840953,0.009592807665961016,0.15256282638473756,0.12646458849677006,0.2367675808533848
Bilbao,0.19597684165597748,0.025400132437914946,0.043304351481357674,0.2592266052279402,-0.042918629164375506
Birmingham,0.6800571248017573,0.028302586789385596,0.2431584019321128,-0.0603856089950375,-0.06080355476567722
Bogota,0.3290087472681344,0.01067161434991426,-0.03551883769997373,0.26896505911105867,0.011519066078681927
Boise,0.2645501025626191,-0.000750887662272694,0.04273912339934308,0.07025246864373368,0.08358690811498724
Bolivia,0.2346765995482636,-0.007087228661411216,0.1504729998561879,0.0006507736866178759,0.0807919205143773
Bologna,0.5760958647369957,0.15077244321985345,-0.008965359376289839,0.21856800988859135,0.07993613918549355
Bordeaux,0.42674853590216333,0.061961844973816446,0.3634595187259099,-0.08939760554481314,-0.1336570545954607
